"","season","week","order","contestant","song","artist","song_theme","result"
"1838","Season_13","20140520_the_final_2",6,"Caleb Johnson","As Long as You Love Me","Backstreet Boys","Winner Single","Winner"
"1839","Season_14","songs_01",1,"Adam Ezegelian","I Wanna Rock","Twisted Sister",NA,"Advanced"
"1840","Season_14","songs_01",2,"Michael Simeon","How Am I Supposed to Live Without You","Laura Branigan",NA,"Eliminated"
"1841","Season_14","songs_01",3,"Savion Wright","Hey, Soul Sister","Train",NA,"Eliminated"
"1842","Season_14","songs_01",4,"Mark Andrew","The Weight","The Band",NA,"Advanced"
"1843","Season_14","songs_01",5,"Trevor Douglas","Best I Ever Had","Gary Allan",NA,"Eliminated"
"1844","Season_14","songs_01",6,"Clark Beckham","When a Man Loves a Woman","Percy Sledge",NA,"Advanced"
"1845","Season_14","songs_01",7,"Rayvon Owen","Jealous","Eyedress",NA,"Advanced"
"1846","Season_14","songs_01",8,"Daniel Seavey","I'm Yours","Jason Mraz",NA,"Advanced"
"1847","Season_14","songs_01",9,"Riley Bria","Homeboy","Eric Church",NA,"Eliminated"
"1848","Season_14","songs_01",10,"Quentin Alexander","I Put a Spell on You","Nina Simone",NA,"Advanced"
"1849","Season_14","songs_01",11,"Nick Fradiani","Thinking Out Loud","Ed Sheeran",NA,"Advanced"
"1850","Season_14","songs_01",12,"Qaasim Middleton","Uptown Funk","Mark Ronson,Bruno Mars",NA,"Advanced"
"1851","Season_14","songs_02",1,"Lovey James","Love Runs Out","OneRepublic",NA,"Eliminated"
"1852","Season_14","songs_02",2,"Adanna Duru","Rather Be","Clean Bandit,Jess Glynne",NA,"Advanced"
"1853","Season_14","songs_02",3,"Alexis Gomez","Gunpowder & Lead","Miranda Lambert",NA,"Advanced"
"1854","Season_14","songs_02",4,"Joey Cook","Somebody Like You","Keith Urban",NA,"Advanced"
"1855","Season_14","songs_02",5,"Katherine Winston","Safe & Sound","Taylor Swift,The Civil Wars",NA,"Eliminated"
"1856","Season_14","songs_02",6,"Shannon Berthiaume","Who Knew","Eminem",NA,"Eliminated"
"1857","Season_14","songs_02",7,"Loren Lott","Note to God","Charice",NA,"Advanced"
"1858","Season_14","songs_02",8,"Shi Scott","Umbrella","Rihanna,JAY-Z",NA,"Eliminated"
"1859","Season_14","songs_02",9,"Maddie Walker","Love Gets Me Everytime","Shania Twain",NA,"Advanced"
"1860","Season_14","songs_02",10,"Sarina-Joi Crowe","Mamma Knows Best","Donna Murphy",NA,"Advanced"
"1861","Season_14","songs_02",11,"Jax","Bang Bang (My Baby Shot Me Down)","FLAG",NA,"Advanced"
"1862","Season_14","songs_02",12,"Tyanna Jones","Lips Are Movin","Meghan Trainor",NA,"Advanced"
"1863","Season_14","songs_03",1,"Daniel Seavey","How Sweet It Is (To Be Loved By You)","FLAG",NA,"Advanced"
"1864","Season_14","songs_03",2,"Mark Andrew","Papa Was a Rollin' Stone","The Temptations",NA,"Eliminated"
"1865","Season_14","songs_03",3,"Rayvon Owen","My Girl","The Temptations",NA,"Advanced"
"1866","Season_14","songs_03",4,"Adam Ezegelian","I Want You Back","The Jackson 5",NA,"Eliminated"
"1867","Season_14","songs_03",5,"Clark Beckham","The Tracks of My Tears","Smokey Robinson & The Miracles",NA,"Advanced"
"1868","Season_14","songs_03",6,"Nick Fradiani","Signed, Sealed, Delivered I'm Yours","Stevie Wonder",NA,"Advanced"
"1869","Season_14","songs_03",7,"Qaasim Middleton","I Wish","Skee-Lo",NA,"Advanced"
"1870","Season_14","songs_03",8,"Quentin Alexander","Master Blaster","Jammin'",NA,"Wild Card"
"1871","Season_14","songs_04",1,"Tyanna Jones","Rockin' Robin","Bobby Day",NA,"Advanced"
"1872","Season_14","songs_04",2,"Loren Lott","I Wanna Be Where You Are","Michael Jackson",NA,"Eliminated"
"1873","Season_14","songs_04",3,"Maddie Walker","I'll Be There","The Rembrandts",NA,"Advanced"
"1874","Season_14","songs_04",4,"Joey Cook","Shop Around","The Miracles",NA,"Advanced"
"1875","Season_14","songs_04",5,"Sarina-Joi Crowe","You've Really Got a Hold on Me","The Miracles",NA,"Advanced"
"1876","Season_14","songs_04",6,"Adanna Duru","Hello","Adele",NA,"Wild Card"
"1877","Season_14","songs_04",7,"Jax","Ain't No Mountain High Enough","Marvin Gaye,Tammi Terrell",NA,"Advanced"
"1878","Season_14","songs_04",8,"Alexis Gomez","I Can't Help Myself","Sugar Pie Honey Bunch",NA,"Eliminated"
"1879","Season_14","songs_06",1,"Sarina-Joi Crowe","Love Runs Out","OneRepublic",NA,"Eliminated"
"1880","Season_14","songs_06",2,"Rayvon Owen","Wide Awake","Katy Perry",NA,"Safe"
"1881","Season_14","songs_06",3,"Daniel Seavey","Straight Up","Paula Abdul",NA,"Safe"
"1882","Season_14","songs_06",4,"Maddie Walker","Suitcase","Matthew Koma",NA,"Safe"
"1883","Season_14","songs_06",5,"Tyanna Jones","Wings","Jonas Brothers",NA,"Safe"
"1884","Season_14","songs_06",6,"Nick Fradiani","In Your Eyes","Tribal Seeds",NA,"Safe"
"1885","Season_14","songs_06",7,"Jax","I Want to Hold Your Hand","The Beatles",NA,"Safe"
"1886","Season_14","songs_06",8,"Qaasim Middleton","Sir Duke","Stevie Wonder",NA,"Safe"
"1887","Season_14","songs_06",9,"Clark Beckham","It's a Man's Man's Man's World","James Brown & The Famous Flames",NA,"Safe"
"1888","Season_14","songs_06",10,"Joey Cook","King of Spain","Moxy Früvous",NA,"Safe"
"1889","Season_14","songs_06",11,"Quentin Alexander","Royals","Lorde",NA,"Safe"
"1890","Season_14","songs_06",12,"Adanna Duru","You and I","Lady Gaga",NA,"Safe"
"1891","Season_14","songs_07",1,"Rayvon Owen","Burn","Phillipa Soo",NA,"Safe"
"1892","Season_14","songs_07",2,"Maddie Walker","She's Country","Jason Aldean",NA,"Safe"
"1893","Season_14","songs_07",3,"Joey Cook","Fancy","Drake,T.I.,Swizz Beatz",NA,"Safe"
"1894","Season_14","songs_07",4,"Clark Beckham","Takin' It to the Streets","The Doobie Brothers,James Taylor",NA,"Safe"
"1895","Season_14","songs_07",5,"Jax","Blank Space","Taylor Swift",NA,"Safe"
"1896","Season_14","songs_07",6,"Qaasim Middleton","Jet","Paul McCartney and Wings",NA,"Judges' save"
"1897","Season_14","songs_07",7,"Adanna Duru","Runaway Baby","Bruno Mars",NA,"Safe"
"1898","Season_14","songs_07",8,"Tyanna Jones","Tightrope","Michelle Williams",NA,"Safe"
"1899","Season_14","songs_07",9,"Daniel Seavey","Happy","Ashanti",NA,"Safe"
"1900","Season_14","songs_07",10,"Quentin Alexander","Rolling in the Deep","Adele",NA,"Safe"
"1901","Season_14","songs_07",11,"Nick Fradiani","Wake Me Up","Green Day",NA,"Safe"
"1902","Season_14","songs_08",1,"Adanna Duru","Love You I Do","Jennifer Hudson","Dreamgirls","Eliminated"
"1903","Season_14","songs_08",2,"Daniel Seavey","Lost Stars","Adam Levine","Begin Again","Safe"
"1904","Season_14","songs_08",3,"Rayvon Owen","Stayin' Alive","Bee Gees","Saturday Night Fever","Bottom three"
"1905","Season_14","songs_08",4,"Nick Fradiani","Danger Zone","Kenny Loggins","Top Gun","Safe"
"1906","Season_14","songs_08",5,"Joey Cook","Mad World","Tears For Fears","Donnie Darko","Safe"
"1907","Season_14","songs_08",6,"Tyanna Jones","Circle of Life","Carmen Twillie,Lebo M.","The Lion King","Safe"
"1908","Season_14","songs_08",7,"Quentin Alexander","You're the One That I Want","John Travolta,Olivia Newton-John","Grease","Safe"
"1909","Season_14","songs_08",8,"Maddie Walker","Let's Hear It for the Boy","Deniece Williams","Footloose","Eliminated"
"1910","Season_14","songs_08",9,"Clark Beckham","Sunday Morning","Maroon 5","Cheaper By The Dozen 2","Safe"
"1911","Season_14","songs_08",10,"Jax","Grow Old with You","Adam Sandler","The Wedding Singer","Safe"
"1912","Season_14","songs_08",11,"Qaasim Middleton","Come Together","The Beatles","Across The Universe","Safe"
"1913","Season_14","songs_09",1,"Daniel Seavey","You Make My Dreams","Daryl Hall & John Oates",NA,"Eliminated"
"1914","Season_14","songs_09",2,"Quentin Alexander","In the Air Tonight","Phil Collins",NA,"Safe"
"1915","Season_14","songs_09",3,"Joey Cook","Girls Just Want to Have Fun","Cyndi Lauper",NA,"Safe"
"1916","Season_14","songs_09",4,"Tyanna Jones","I Wanna Dance with Somebody","Who Loves Me",NA,"Safe"
"1917","Season_14","songs_09",5,"Jax","You Give Love a Bad Name","Bon Jovi",NA,"Safe"
"1918","Season_14","songs_09",6,"Nick Fradiani","Man in the Mirror","Michael Jackson",NA,"Safe"
"1919","Season_14","songs_09",7,"Clark Beckham","Every Breath You Take","The Police",NA,"Safe"
"1920","Season_14","songs_09",8,"Qaasim Middleton","Addicted to Love","Robert Palmer",NA,"Safe"
"1921","Season_14","songs_09",9,"Rayvon Owen","Everybody Wants to Rule the World","Tears For Fears",NA,"Fan Save"
"1922","Season_14","songs_10",1,"Nick Fradiani","Catch My Breath","Kelly Clarkson",NA,"Safe"
"1923","Season_14","songs_10",2,"Jax","Beautiful Disaster","311",NA,"Safe"
"1924","Season_14","songs_10",3,"Tyanna Jones","Mr. Know It All","Kelly Clarkson",NA,"Safe"
"1925","Season_14","songs_10",4,"Joey Cook","Miss Independent","Kelly Clarkson",NA,"Safe"
"1926","Season_14","songs_10",5,"Quentin Alexander","Dark Side","Kelly Clarkson",NA,"Safe"
"1927","Season_14","songs_10",6,"Qaasim Middleton","Stronger","What Doesn't Kill You",NA,"Eliminated"
"1928","Season_14","songs_10",7,"Clark Beckham","The Trouble with Love Is","Kelly Clarkson",NA,"Safe"
"1929","Season_14","songs_10",8,"Rayvon Owen","Since U Been Gone","Kelly Clarkson",NA,"Fan Save"
"1930","Season_14","songs_11",1,"Jax","Poker Face","Lady Gaga",NA,"Safe"
"1931","Season_14","songs_11",2,"Nick Fradiani","Teenage Dream","Katy Perry",NA,"Safe"
"1932","Season_14","songs_11",3,"Quentin Alexander","Latch","Disclosure,Sam Smith",NA,"Safe"
"1933","Season_14","songs_11",4,"Joey Cook","Wrecking Ball","Mother Mother",NA,"Eliminated"
"1934","Season_14","songs_11",5,"Clark Beckham","Make It Rain","Fat Joe,Lil Wayne",NA,"Safe"
"1935","Season_14","songs_11",6,"Tyanna Jones","Stay","Rihanna,Mikky Ekko",NA,"Safe"
"1936","Season_14","songs_11",7,"Rayvon Owen","Set Fire to the Rain","Adele",NA,"Fan Save"
"1937","Season_14","songs_12",1,"Tyanna Jones","Why Do Fools Fall in Love","Frankie Valli & The Four Seasons",NA,"Safe"
"1938","Season_14","songs_12",2,"Clark Beckham","Superstition","Stevie Wonder",NA,"Safe"
"1939","Season_14","songs_12",3,"Jax","Piece of My Heart","Big Brother & The Holding Company,Janis Joplin",NA,"Safe"
"1940","Season_14","songs_12",4,"Nick Fradiani","American Girl","Tom Petty and the Heartbreakers",NA,"Safe"
"1941","Season_14","songs_12",5,"Quentin Alexander","Are You Gonna Go My Way","Lenny Kravitz",NA,"Eliminated"
"1942","Season_14","songs_12",6,"Rayvon Owen","Long Train Runnin'","The Doobie Brothers",NA,"Fan Save"
"1943","Season_14","songs_12",7,"Clark Beckham","Moon River","Audrey Hepburn",NA,"Safe"
"1944","Season_14","songs_12",8,"Tyanna Jones","Proud Mary","Creedence Clearwater Revival",NA,"Safe"
"1945","Season_14","songs_12",9,"Nick Fradiani","Only the Good Die Young","Billy Joel",NA,"Safe"
"1946","Season_14","songs_12",10,"Quentin Alexander","The Sound of Silence","Simon & Garfunkel",NA,"Eliminated"
"1947","Season_14","songs_12",11,"Jax","Beat It","Michael Jackson",NA,"Safe"
"1948","Season_14","songs_12",12,"Rayvon Owen","Always on My Mind","Willie Nelson",NA,"Fan Save"
"1949","Season_14","songs_13",1,"Jax","Are You Gonna Be My Girl","Jet",NA,"Safe"
"1950","Season_14","songs_13",2,"Nick Fradiani","Harder to Breathe","Maroon 5",NA,"Safe"
"1951","Season_14","songs_13",3,"Clark Beckham","Yesterday","David Schultz",NA,"Safe"
"1952","Season_14","songs_13",4,"Tyanna Jones","Party in the U.S.A.","Miley Cyrus",NA,"Eliminated"
"1953","Season_14","songs_13",5,"Rayvon Owen","I'm Not the Only One","Sam Smith",NA,"Bottom two"
"1954","Season_14","songs_13",6,"Nick Fradiani","Maggie May","Rod Stewart",NA,"Safe"
"1955","Season_14","songs_13",7,"Tyanna Jones","Heaven","Kane Brown",NA,"Eliminated"
"1956","Season_14","songs_13",8,"Clark Beckham","Boyfriend","Dove Cameron",NA,"Safe"
"1957","Season_14","songs_13",9,"Jax","White Flag","Dido",NA,"Safe"
"1958","Season_14","songs_13",10,"Rayvon Owen","Go Your Own Way","Fleetwood Mac",NA,"Bottom two"
"1959","Season_14","songs_14",1,"Clark Beckham","Living for the City","Stevie Wonder",NA,"Safe"
"1960","Season_14","songs_14",2,"Jax","Empire State of Mind","JAY-Z,Alicia Keys",NA,"Safe"
"1961","Season_14","songs_14",3,"Nick Fradiani","Bright Lights","Matchbox Twenty",NA,"Safe"
"1962","Season_14","songs_14",4,"Rayvon Owen","Need You Now","Lady A",NA,"Eliminated"
"1963","Season_14","songs_14",5,"Clark Beckham","Your Man","Josh Turner",NA,"Safe"
"1964","Season_14","songs_14",6,"Jax","Human","Cody Johnson",NA,"Safe"
"1965","Season_14","songs_14",7,"Rayvon Owen","Believe","Bruno Mali Kidd",NA,"Eliminated"
"1966","Season_14","songs_14",8,"Nick Fradiani","What Hurts the Most","Rascal Flatts",NA,"Safe"
"1967","Season_14","songs_15",1,"Clark Beckham","Beautiful Day","U2","Scott Borchetta Choice","Safe"
"1968","Season_14","songs_15",2,"Nick Fradiani","Because the Night","Patti Smith","Scott Borchetta Choice","Safe"
"1969","Season_14","songs_15",3,"Jax","My Generation","The Who","Scott Borchetta Choice","Third place"
"1970","Season_14","songs_15",4,"Nick Fradiani","Back Home","Andy Grammer","Hometown Dedication","Safe"
"1971","Season_14","songs_15",5,"Clark Beckham","(Sittin' On) the Dock of the Bay","Otis Redding","Hometown Dedication","Safe"
"1972","Season_14","songs_15",6,"Jax","My Immortal","Evanescence","Hometown Dedication","Third place"
"1973","Season_14","songs_15",7,"Clark Beckham","Earned It","The Weeknd","Judges Choice","Safe"
"1974","Season_14","songs_15",8,"Jax","Misery Business","Paramore","Judges Choice","Third place"
"1975","Season_14","songs_15",9,"Nick Fradiani","I'll Be","Edwin McCain","Judges Choice","Safe"
"1976","Season_14","songs_16",1,"Clark Beckham","Georgia on My Mind","Oscar Peterson Trio","Favorite Performance","Runner-up"
"1977","Season_14","songs_16",2,"Nick Fradiani","Bright Lights","Matchbox Twenty","Favorite Performance","Winner"
"1978","Season_14","songs_16",3,"Clark Beckham","Ain't No Sunshine","Bill Withers","Simon Fuller Choice","Runner-up"
"1979","Season_14","songs_16",4,"Nick Fradiani","I Won't Give Up","Jason Mraz","Simon Fuller Choice","Winner"
"1980","Season_14","songs_16",5,"Clark Beckham","Champion","Kanye West","Winner Single","Runner-up"
"1981","Season_14","songs_16",6,"Nick Fradiani","Beautiful Life","Ace of Base","Winner Single","Winner"
"1982","Season_15","songs_01",1,"Stephany Negrete, with Ruben Studdard","Mamma Knows Best","Donna Murphy",NA,"Eliminated"
"1983","Season_15","songs_01",2,"MacKenzie Bourg, with Lauren Alaina","Say Something","Timbaland,Drake",NA,"Wild Card"
"1984","Season_15","songs_01",3,"Jeneve Rose Mitchell, with Scotty McCreery","Angel","Halle",NA,"Wild Card"
"1985","Season_15","songs_01",4,"Jenna Renae, with Scotty McCreery","My Church","Maren Morris",NA,"Eliminated"
"1986","Season_15","songs_01",5,"James VIII, with Caleb Johnson","Love Lockdown","Kanye West",NA,"Eliminated"
"1987","Season_15","songs_01",6,"Sonika Vaid, with Caleb Johnson","Safe & Sound","Taylor Swift,The Civil Wars",NA,"Wild Card"
"1988","Season_15","songs_01",7,"Gianna Isabella, with Nick Fradiani","I Put a Spell on You","Nina Simone",NA,"Wild Card"
"1989","Season_15","songs_01",8,"Emily Brooke, with Lauren Alaina","I Am Invincible","Cassadee Pope",NA,"Eliminated"
"1990","Season_15","songs_01",9,"Avalon Young, with Ruben Studdard","Love Yourself","Justin Bieber",NA,"Wild Card"
"1991","Season_15","songs_01",10,"Jordan Sasser, with Fantasia","All by Myself","Céline Dion",NA,"Eliminated"
"1992","Season_15","songs_01",11,"Thomas Stringfellow, with Nick Fradiani","Creep","Radiohead",NA,"Wild Card"
"1993","Season_15","songs_01",12,"La'Porsha Renae, with Fantasia","Proud Mary","Creedence Clearwater Revival",NA,"Advanced"
"1994","Season_15","songs_01",13,"Emily Brooke, with Lauren Alaina","Flat on the Floor","Nickelback",NA,"Eliminated"
"1995","Season_15","songs_01",14,"Thomas Stringfellow, with Nick Fradiani","Man in the Mirror","Michael Jackson",NA,"Wild Card"
"1996","Season_15","songs_01",15,"Stephany Negrete, with Ruben Studdard","Superstar","USHER",NA,"Eliminated"
"1997","Season_15","songs_01",16,"Sonika Vaid, with Caleb Johnson","Skyfall","Adele",NA,"Wild Card"
"1998","Season_15","songs_01",17,"Jenna Renae, with Scotty McCreery","See You Tonight","Scotty McCreery",NA,"Eliminated"
"1999","Season_15","songs_01",18,"La'Porsha Renae, with Fantasia","Summertime","Kenny Chesney",NA,"Advanced"
"2000","Season_15","songs_01",19,"MacKenzie Bourg, with Lauren Alaina","I Hope You Dance","Lee Ann Womack",NA,"Wild Card"
"2001","Season_15","songs_01",20,"Gianna Isabella, with Nick Fradiani","Beautiful Life","Ace of Base",NA,"Wild Card"
"2002","Season_15","songs_01",21,"Avalon Young, with Ruben Studdard","Flying Without Wings","Westlife",NA,"Wild Card"
"2003","Season_15","songs_01",22,"James VIII, with Caleb Johnson","Gimme Shelter","The Rolling Stones",NA,"Eliminated"
"2004","Season_15","songs_01",23,"Jeneve Rose Mitchell, with Scotty McCreery","Gone","ROSÉ",NA,"Wild Card"
"2005","Season_15","songs_01",24,"Jordan Sasser, with Fantasia","I Believe","The Darkness",NA,"Eliminated"
"2006","Season_15","songs_02",1,"Shelbie Z, with Constantine Maroulis","Work Hard, Play Harder","Montgomery Gentry",NA,"Eliminated"
"2007","Season_15","songs_02",2,"Manny Torres, with Jordin Sparks","Adventure of a Lifetime","Coldplay",NA,"Wild Card"
"2008","Season_15","songs_02",3,"Kory Wheeler, with Haley Reinhart","Let It Go","Idina Menzel",NA,"Eliminated"
"2009","Season_15","songs_02",4,"Amelia Eisenhauer, with Kellie Pickler","Wake Me Up","Green Day",NA,"Eliminated"
"2010","Season_15","songs_02",5,"Jenn Blosil, with Constantine Maroulis","Sorry","Justin Bieber",NA,"Wild Card"
"2011","Season_15","songs_02",6,"C.J. Johnson, with David Cook","I'll Be","Edwin McCain",NA,"Eliminated"
"2012","Season_15","songs_02",7,"Lee Jean, with Chris Daughtry","Runaway","Kanye West,Pusha T",NA,"Wild Card"
"2013","Season_15","songs_02",8,"Trent Harmon, with Jordin Sparks","What Are You Listening To","Chris Stapleton",NA,"Advanced"
"2014","Season_15","songs_02",9,"Tristan McIntosh, with Kellie Pickler","Good Girl","Carrie Underwood",NA,"Wild Card"
"2015","Season_15","songs_02",10,"Adam Lasher, with Haley Reinhart","Black and Gold","Sam Sparro",NA,"Eliminated"
"2016","Season_15","songs_02",11,"Dalton Rapattoni, with Chris Daughtry","Rebel Yell","Billy Idol",NA,"Advanced"
"2017","Season_15","songs_02",12,"Olivia Rox, with David Cook","Confident","Demi Lovato",NA,"Advanced"
"2018","Season_15","songs_02",13,"Amelia Eisenhauer, with Kellie Pickler","Suds in the Bucket","Sara Evans",NA,"Eliminated"
"2019","Season_15","songs_02",14,"Kory Wheeler, with Haley Reinhart","Bennie and the Jets","Elton John",NA,"Eliminated"
"2020","Season_15","songs_02",15,"Lee Jean, with Chris Daughtry","Home","Edward Sharpe & The Magnetic Zeros",NA,"Wild Card"
"2021","Season_15","songs_02",16,"C.J. Johnson, with David Cook","The World I Know","Collective Soul",NA,"Eliminated"
"2022","Season_15","songs_02",17,"Manny Torres, with Jordin Sparks","No Air","Jordin Sparks,Chris Brown",NA,"Wild Card"
"2023","Season_15","songs_02",18,"Jenn Blosil, with Constantine Maroulis","My Funny Valentine","Frank Sinatra",NA,"Wild Card"
"2024","Season_15","songs_02",19,"Tristan McIntosh, with Kellie Pickler","Best Days of Your Life","Kellie Pickler",NA,"Wild Card"
"2025","Season_15","songs_02",20,"Olivia Rox, with David Cook","Light On","Maggie Rogers",NA,"Advanced"
"2026","Season_15","songs_02",21,"Adam Lasher, with Haley Reinhart","Can't Help Falling in Love","Elvis Presley",NA,"Eliminated"
"2027","Season_15","songs_02",22,"Dalton Rapattoni, with Chris Daughtry","Higher Ground","Stevie Wonder",NA,"Advanced"
"2028","Season_15","songs_02",23,"Trent Harmon, with Jordin Sparks","To Love Somebody","Bee Gees",NA,"Advanced"
"2029","Season_15","songs_02",24,"Shelbie Z, with Constantine Maroulis","Bohemian Rhapsody","Queen",NA,"Eliminated"
"2030","Season_15","songs_03",1,"1","Master Blaster","Jammin'",NA,"Eliminated"
"2031","Season_15","songs_03",2,"2","I Put a Spell on You","Nina Simone",NA,"Advanced"
"2032","Season_15","songs_03",3,"3","Story of My Life","Social Distortion",NA,"Eliminated"
"2033","Season_15","songs_03",4,"4","What Hurts the Most","Rascal Flatts",NA,"Advanced"
"2034","Season_15","songs_03",5,"5","Yo","Excuse Me Miss",NA,"Advanced"
"2035","Season_15","songs_03",6,"6","True Colors","Cyndi Lauper",NA,"Eliminated"
"2036","Season_15","songs_03",7,"7","Make It Rain","Fat Joe,Lil Wayne",NA,"Advanced"
"2037","Season_15","songs_03",8,"8","I Surrender","Hillsong Worship,Matt Crocker",NA,"Advanced"
"2038","Season_15","songs_03",9,"9","Ring of Fire","Johnny Cash",NA,"Eliminated"
"2039","Season_15","songs_03",10,"10","Roses","The Chainsmokers,ROZES",NA,"Advanced"
"2040","Season_15","songs_04",1,"Olivia Rox","Unconditionally","Katy Perry",NA,"Eliminated"
"2041","Season_15","songs_04",2,"Gianna Isabella","Listen","Marvin Sapp",NA,"Eliminated"
"2042","Season_15","songs_04",3,"Lee Jean","Skinny Love","Bon Iver",NA,"Safe"
"2043","Season_15","songs_04",4,"Avalon Young","Stitches","Shawn Mendes",NA,"Bottom 3"
"2044","Season_15","songs_04",5,"Dalton Rapattoni","Hey There Delilah","Plain White T's",NA,"Safe"
"2045","Season_15","songs_04",6,"Tristan McIntosh","Nothin' Like You","Dan + Shay",NA,"Safe"
"2046","Season_15","songs_04",7,"MacKenzie Bourg","I See Fire","Ed Sheeran",NA,"Safe"
"2047","Season_15","songs_04",8,"La'Porsha Renae","Diamonds","Rihanna",NA,"Safe"
"2048","Season_15","songs_04",9,"Sonika Vaid","Bring Me to Life","Evanescence",NA,"Safe"
"2049","Season_15","songs_04",10,"Trent Harmon","Like I Can","Sam Smith",NA,"Safe"
"2050","Season_15","songs_05",1,"Dalton Rapattoni","Radioactive","Imagine Dragons",NA,"Safe"
"2051","Season_15","songs_05",2,"Lee Jean","Use Somebody","Kings of Leon",NA,"Eliminated"
"2052","Season_15","songs_05",3,"Sonika Vaid","Since U Been Gone","Kelly Clarkson",NA,"Bottom 3"
"2053","Season_15","songs_05",4,"MacKenzie Bourg","I Wanna Dance with Somebody","Who Loves Me",NA,"Safe"
"2054","Season_15","songs_05",5,"La'Porsha Renae","Halo","Beyoncé",NA,"Safe"
"2055","Season_15","songs_05",6,"Trent Harmon","When a Man Loves a Woman","Percy Sledge",NA,"Safe"
"2056","Season_15","songs_05",7,"Tristan McIntosh","Go Rest High on That Mountain","Vince Gill",NA,"Safe"
"2057","Season_15","songs_05",8,"Avalon Young","Earned It","The Weeknd",NA,"Eliminated"
"2058","Season_15","songs_06",1,"La'Porsha Renae","See You Again","with Trent Harmon","Duet Song","Safe"
"2059","Season_15","songs_06",1,"Trent Harmon","See You Again","with La'Porsha Renae","Duet Song","Safe"
"2060","Season_15","songs_06",2,"Sonika Vaid","Rise Up","with Avalon Young","Duet Song","Bottom 2"
"2061","Season_15","songs_06",3,"MacKenzie Bourg","I Want It That Way","with Dalton Rapattoni","Duet Song","Safe"
"2062","Season_15","songs_06",3,"Dalton Rapattoni","I Want It That Way","with MacKenzie Bourg","Duet Song","Safe"
"2063","Season_15","songs_06",4,"Tristan McIntosh","I Don't Wanna Miss a Thing","with Lee Jean","Duet Song","Eliminated"
"2064","Season_15","songs_06",5,"La'Porsha Renae","Come Together","The Beatles","Solo Song","Safe"
"2065","Season_15","songs_06",6,"MacKenzie Bourg","You Are So Beautiful","Joe Cocker","Solo Song","Safe"
"2066","Season_15","songs_06",7,"Trent Harmon","Stand By Me","Ben E. King","Solo Song","Safe"
"2067","Season_15","songs_06",8,"Tristan McIntosh","A Broken Wing","Martina McBride","Solo Song","Eliminated"
"2068","Season_15","songs_06",9,"Dalton Rapattoni","Eleanor Rigby","The Beatles","Solo Song","Safe"
"2069","Season_15","songs_06",10,"Sonika Vaid","I Have Nothing","Whitney Houston","Solo Song","Bottom 2"
"2070","Season_15","songs_07",1,"Trent Harmon","Counting Stars","OneRepublic","Twitter Choice","Safe"
"2071","Season_15","songs_07",2,"Dalton Rapattoni","Numb","Linkin Park","Twitter Choice","Bottom 2"
"2072","Season_15","songs_07",3,"La'Porsha Renae","Ready for Love","BLACKPINK","Twitter Choice","Safe"
"2073","Season_15","songs_07",4,"MacKenzie Bourg","Wild World","Yusuf / Cat Stevens","Twitter Choice","Safe"
"2074","Season_15","songs_07",5,"Sonika Vaid","Let It Go","Idina Menzel","Twitter Choice","Eliminated"
"2075","Season_15","songs_07",6,"Dalton Rapattoni","The Sound of Silence","Simon & Garfunkel","Contestant Choice","Bottom 2"
"2076","Season_15","songs_07",7,"MacKenzie Bourg","Billie Jean","Michael Jackson","Contestant Choice","Safe"
"2077","Season_15","songs_07",8,"Trent Harmon","Simple Man","Lynyrd Skynyrd","Contestant Choice","Safe"
"2078","Season_15","songs_07",9,"Sonika Vaid","Clarity","Zedd,Foxes","Contestant Choice","Eliminated"
"2079","Season_15","songs_07",10,"La'Porsha Renae","No More Drama","Mary J. Blige","Contestant Choice","Safe"
"2080","Season_15","songs_08",1,"La'Porsha Renae","Wanted Dead or Alive","Bon Jovi","Classical Rock Song","Bottom 2"
"2081","Season_15","songs_08",2,"MacKenzie Bourg","I Want You to Want Me","Cheap Trick","Classical Rock Song","Eliminated"
"2082","Season_15","songs_08",3,"Trent Harmon","Sharp Dressed Man","ZZ Top","Classical Rock Song","Safe"
"2083","Season_15","songs_08",4,"Dalton Rapattoni","God Only Knows","The Beach Boys","Classical Rock Song","Safe"
"2084","Season_15","songs_08",5,"La'Porsha Renae","Elastic Heart","Sia","Sia Song","Bottom 2"
"2085","Season_15","songs_08",6,"MacKenzie Bourg","Titanium","Chloe Welch","Sia Song","Eliminated"
"2086","Season_15","songs_08",7,"Trent Harmon","Chandelier","Sia","Sia Song","Safe"
"2087","Season_15","songs_08",8,"Dalton Rapattoni","Bird Set Free","Sia","Sia Song","Safe"
"2088","Season_15","songs_09",1,"Dalton Rapattoni","Calling You","Blue October","Hometown Dedication","Third place"
"2089","Season_15","songs_09",2,"Trent Harmon","Tennessee Whiskey","Chris Stapleton","Hometown Dedication","Safe"
"2090","Season_15","songs_09",3,"La'Porsha Renae","Glory","Aaron Cole","Hometown Dedication","Safe"
"2091","Season_15","songs_09",4,"Dalton Rapattoni","Dancing in the Dark","Bruce Springsteen","Scott Borchetta Choice","Third place"
"2092","Season_15","songs_09",5,"La'Porsha Renae","Stay with Me","Miki Matsubara","Scott Borchetta Choice","Safe"
"2093","Season_15","songs_09",6,"Trent Harmon","Drink You Away","Justin Timberlake","Scott Borchetta Choice","Safe"
